Country,Indicator,Model,RMSE,Rank
Poland,Inflation (CPI),LSTM,109.52457479537489,5
Poland,Unemployment Rate (%),ARIMA,0.17506752140555723,1
Poland,Unemployment Rate (%),Holt-Winters,0.3960762307973555,2
Poland,Unemployment Rate (%),Prophet,0.7637217913298963,3
Poland,Unemployment Rate (%),XGBoost,2.8045212333629332,4
Poland,Unemployment Rate (%),LSTM,6.172847844727627,5
Poland,GDP growth (annual %),ARIMA,2.2520716544631028,1
Poland,GDP growth (annual %),XGBoost,2.66525193501245,2
Poland,GDP growth (annual %),Holt-Winters,3.0578010896598573,3
Poland,GDP growth (annual %),Prophet,3.120452577966391,4
Poland,GDP growth (annual %),LSTM,3.6080945535488107,5
Poland,Imports of goods and services (% of GDP),ARIMA,2.700880138820325,1
Poland,Imports of goods and services (% of GDP),Prophet,3.1770437991681244,2
Poland,Imports of goods and services (% of GDP),Holt-Winters,3.6223923698277862,3
Poland,Imports of goods and services (% of GDP),LSTM,3.794964518179804,4
Poland,Imports of goods and services (% of GDP),XGBoost,5.491721869811737,5
Poland,Exports of goods and services (% of GDP),Prophet,1.6992184942098056,1
Poland,Exports of goods and services (% of GDP),ARIMA,1.9842725341972094,2
Poland,Exports of goods and services (% of GDP),Holt-Winters,2.1354657842223435,3
Poland,Exports of goods and services (% of GDP),LSTM,2.4287863635112115,4
Poland,Exports of goods and services (% of GDP),XGBoost,5.555994523273807,5
Slovakia,GDP per Capita (USD),Holt-Winters,789.0957397231981,1
Slovakia,GDP per Capita (USD),ARIMA,792.7689277468453,2
Slovakia,GDP per Capita (USD),Prophet,1853.0614935094586,3
Slovakia,GDP per Capita (USD),XGBoost,4477.326058174765,4
Slovakia,GDP per Capita (USD),LSTM,4748.764744236352,5
Slovakia,GDP (USD),Holt-Winters,4244489085.0545826,1
Slovakia,GDP (USD),ARIMA,4302841254.309554,2
Slovakia,GDP (USD),Prophet,9411547371.728954,3
Slovakia,GDP (USD),LSTM,14520832731.814981,4
Slovakia,GDP (USD),XGBoost,23633944330.84967,5
Slovakia,Inflation (CPI),XGBoost,2.206878459544274,1
Slovakia,Inflation (CPI),ARIMA,2.499847707985113,2
Slovakia,Inflation (CPI),Holt-Winters,4.509940364794076,3
Slovakia,Inflation (CPI),LSTM,4.9579283128387175,4
Slovakia,Inflation (CPI),Prophet,7.743003600747387,5
Slovakia,Unemployment Rate (%),ARIMA,0.6231239159197224,1
Slovakia,Unemployment Rate (%),Holt-Winters,0.7818293036196718,2
Slovakia,Unemployment Rate (%),Prophet,0.9908139928928285,3
Slovakia,Unemployment Rate (%),XGBoost,3.1678807624784575,4
Slovakia,Unemployment Rate (%),LSTM,6.240454168110386,5
Slovakia,GDP growth (annual %),ARIMA,2.0173915452981754,1
Slovakia,GDP growth (annual %),Prophet,2.1081103498304516,2
Slovakia,GDP growth (annual %),Holt-Winters,2.4039694516530434,3
Slovakia,GDP growth (annual %),XGBoost,2.406617201230224,4
Slovakia,GDP growth (annual %),LSTM,2.8944336480719945,5
Slovakia,Imports of goods and services (% of GDP),ARIMA,5.386648917351161,1
Slovakia,Imports of goods and services (% of GDP),Holt-Winters,5.867718935940389,2
Slovakia,Imports of goods and services (% of GDP),Prophet,5.9706030116659985,3
Slovakia,Imports of goods and services (% of GDP),XGBoost,6.4937161956683465,4
Slovakia,Imports of goods and services (% of GDP),LSTM,7.1456295964479395,5
Slovakia,Exports of goods and services (% of GDP),ARIMA,2.7660612715397117,1
Slovakia,Exports of goods and services (% of GDP),XGBoost,3.831184600256527,2
Slovakia,Exports of goods and services (% of GDP),Holt-Winters,4.153941777399658,3
Slovakia,Exports of goods and services (% of GDP),Prophet,4.725233295198399,4
Slovakia,Exports of goods and services (% of GDP),LSTM,5.67696668404335,5
Germany,GDP per Capita (USD),ARIMA,2525.165510156795,1
Germany,GDP per Capita (USD),Holt-Winters,2624.7565884817254,2
Germany,GDP per Capita (USD),Prophet,3156.5475945879507,3
Germany,GDP per Capita (USD),XGBoost,6141.561221947709,4
Germany,GDP per Capita (USD),LSTM,6735.5003945590315,5
Germany,GDP (USD),ARIMA,196665635058.8624,1
Germany,GDP (USD),Holt-Winters,206124592203.67648,2
Germany,GDP (USD),Prophet,225177503492.76593,3
Germany,GDP (USD),XGBoost,324265235739.1789,4
Germany,GDP (USD),LSTM,865524146669.4371,5
Germany,Inflation (CPI),XGBoost,0.944216689385817,1
Germany,Inflation (CPI),ARIMA,1.4400300375870816,2
Germany,Inflation (CPI),Holt-Winters,1.6980990173294637,3
Germany,Inflation (CPI),LSTM,1.9058774597366277,4
Germany,Inflation (CPI),Prophet,1.935512631375491,5
Germany,Unemployment Rate (%),Holt-Winters,0.26192364528800816,1
Germany,Unemployment Rate (%),ARIMA,0.2887013829344905,2
Germany,Unemployment Rate (%),Prophet,0.322631516503106,3
Germany,Unemployment Rate (%),XGBoost,0.745822078750756,4
Germany,Unemployment Rate (%),LSTM,1.9193292320513282,5
Germany,GDP growth (annual %),XGBoost,1.1007724380973622,1
Germany,GDP growth (annual %),ARIMA,1.4767687609251223,2
Germany,GDP growth (annual %),Holt-Winters,1.9035282031467493,3
Germany,GDP growth (annual %),LSTM,2.002356099245936,4
Germany,GDP growth (annual %),Prophet,2.0108583954150596,5
Germany,Imports of goods and services (% of GDP),ARIMA,1.6542977663242437,1
Germany,Imports of goods and services (% of GDP),Holt-Winters,1.984221513121067,2
Germany,Imports of goods and services (% of GDP),XGBoost,2.2486535554813534,3
Germany,Imports of goods and services (% of GDP),Prophet,2.3039644308620266,4
Germany,Imports of goods and services (% of GDP),LSTM,11.69584856657958,5
Germany,Exports of goods and services (% of GDP),XGBoost,1.353543317435603,1
Germany,Exports of goods and services (% of GDP),Holt-Winters,1.4062052651780228,2
Germany,Exports of goods and services (% of GDP),ARIMA,1.4257226793450144,3
Germany,Exports of goods and services (% of GDP),Prophet,1.9358025378171788,4
Germany,Exports of goods and services (% of GDP),LSTM,3.0788573611896615,5
Austria,GDP per Capita (USD),Holt-Winters,2841.487755387397,1
Austria,GDP per Capita (USD),ARIMA,3055.1865916890347,2
Austria,GDP per Capita (USD),Prophet,3750.119528773611,3
Austria,GDP per Capita (USD),XGBoost,3781.8643128029075,4
Austria,GDP per Capita (USD),LSTM,5822.195670813572,5
Austria,GDP (USD),ARIMA,23057317535.85741,1
Austria,GDP (USD),Holt-Winters,23961956999.961395,2
Austria,GDP (USD),Prophet,28187813600.499107,3
Austria,GDP (USD),XGBoost,52592785034.0234,4
Austria,GDP (USD),LSTM,126389819100.60509,5
Austria,Inflation (CPI),XGBoost,0.9417277431106457,1
Austria,Inflation (CPI),ARIMA,1.5267272965991963,2
Austria,Inflation (CPI),Holt-Winters,1.9131112597032929,3
Austria,Inflation (CPI),LSTM,2.145475597668423,4
Austria,Inflation (CPI),Prophet,2.3434467641439722,5
Austria,Unemployment Rate (%),XGBoost,0.39136896730103526,1
Austria,Unemployment Rate (%),ARIMA,0.4810101803745836,2
Austria,Unemployment Rate (%),Holt-Winters,0.5594288733924692,3
Austria,Unemployment Rate (%),LSTM,0.5780882177276357,4
Austria,Unemployment Rate (%),Prophet,0.7457103900344634,5
Austria,GDP growth (annual %),XGBoost,2.016674059083315,1
Austria,GDP growth (annual %),ARIMA,2.7423945214213283,2
Austria,GDP growth (annual %),LSTM,2.770285831402642,3
Austria,GDP growth (annual %),Holt-Winters,2.7760003273283456,4
Austria,GDP growth (annual %),Prophet,2.796321345447686,5
Austria,Imports of goods and services (% of GDP),ARIMA,2.7070972190376072,1
Austria,Imports of goods and services (% of GDP),Holt-Winters,2.943737971711854,2
Austria,Imports of goods and services (% of GDP),Prophet,3.5202018137176094,3
Austria,Imports of goods and services (% of GDP),LSTM,3.6420806539417145,4
Austria,Imports of goods and services (% of GDP),XGBoost,4.061436924676834,5
Austria,Exports of goods and services (% of GDP),ARIMA,1.9925490475575631,1
Austria,Exports of goods and services (% of GDP),Prophet,2.124957645533225,2
Austria,Exports of goods and services (% of GDP),Holt-Winters,2.1836647245701086,3
Austria,Exports of goods and services (% of GDP),LSTM,2.355280986507908,4
Austria,Exports of goods and services (% of GDP),XGBoost,3.066475158134362,5
France,GDP per Capita (USD),XGBoost,2350.1832304812133,1
France,GDP per Capita (USD),ARIMA,2450.6157350677263,2
France,GDP per Capita (USD),Holt-Winters,2489.188202926371,3
France,GDP per Capita (USD),LSTM,2528.4894588116363,4
France,GDP per Capita (USD),Prophet,3994.722742743356,5
France,GDP (USD),Holt-Winters,164788115679.0544,1
France,GDP (USD),XGBoost,167143382514.3058,2
France,GDP (USD),ARIMA,171543705327.0983,3
France,GDP (USD),LSTM,180740338532.0545,4
France,GDP (USD),Prophet,235773958608.8589,5
France,Inflation (CPI),XGBoost,0.75839893764017,1
France,Inflation (CPI),ARIMA,1.0144192374952377,2
France,Inflation (CPI),Holt-Winters,1.4000583719845234,3
France,Inflation (CPI),Prophet,1.5386327217725095,4
France,Inflation (CPI),LSTM,1.5554090793163868,5
France,Unemployment Rate (%),ARIMA,0.3107104044590443,1
France,Unemployment Rate (%),XGBoost,0.3632597952315428,2
France,Unemployment Rate (%),Prophet,0.533662928306772,3
France,Unemployment Rate (%),Holt-Winters,0.6811624257379469,4
France,Unemployment Rate (%),LSTM,0.895668201702717,5
France,GDP growth (annual %),XGBoost,2.342569450882915,1
France,GDP growth (annual %),ARIMA,2.853804946805631,2
France,GDP growth (annual %),Holt-Winters,2.954254038657478,3
France,GDP growth (annual %),Prophet,2.957492737066369,4
France,GDP growth (annual %),LSTM,2.969771236507863,5
France,Imports of goods and services (% of GDP),Holt-Winters,1.7582331127759951,1
France,Imports of goods and services (% of GDP),Prophet,1.7608327782599547,2
France,Imports of goods and services (% of GDP),ARIMA,1.9437487059863507,3
France,Imports of goods and services (% of GDP),XGBoost,3.7605047220939665,4
France,Imports of goods and services (% of GDP),LSTM,5.735836609316031,5
France,Exports of goods and services (% of GDP),ARIMA,1.558623136193298,1
France,Exports of goods and services (% of GDP),Prophet,1.5791645339415348,2
France,Exports of goods and services (% of GDP),Holt-Winters,1.579289559704676,3
France,Exports of goods and services (% of GDP),XGBoost,3.092230473490327,4
France,Exports of goods and services (% of GDP),LSTM,4.853509004148413,5
Italy,GDP per Capita (USD),XGBoost,2096.783293384821,1
Italy,GDP per Capita (USD),ARIMA,2655.15592504936,2
Italy,GDP per Capita (USD),Holt-Winters,2701.260409869228,3
Italy,GDP per Capita (USD),LSTM,2807.9227088500575,4
Italy,GDP per Capita (USD),Prophet,5351.250120132592,5
Italy,GDP (USD),XGBoost,97717844677.03828,1
Italy,GDP (USD),ARIMA,142167260843.90338,2
Italy,GDP (USD),Holt-Winters,143622155167.12042,3
Italy,GDP (USD),Prophet,267503370994.00555,4
Italy,GDP (USD),LSTM,409865413248.82666,5
Italy,Inflation (CPI),XGBoost,1.4170924894846781,1
Italy,Inflation (CPI),ARIMA,1.717744098765624,2
Italy,Inflation (CPI),Holt-Winters,2.1883935501127127,3
Italy,Inflation (CPI),Prophet,2.4428138934645287,4
Italy,Inflation (CPI),LSTM,3.7715321691388892,5
Italy,Unemployment Rate (%),Holt-Winters,0.2789254883202137,1
Italy,Unemployment Rate (%),XGBoost,0.41662890815152653,2
Italy,Unemployment Rate (%),ARIMA,0.41748307627815395,3
Italy,Unemployment Rate (%),Prophet,0.4778997792431589,4
Italy,Unemployment Rate (%),LSTM,1.0480350649928538,5
Italy,GDP growth (annual %),XGBoost,3.0815277222301156,1
Italy,GDP growth (annual %),ARIMA,3.454278717433005,2
Italy,GDP growth (annual %),Holt-Winters,3.7513643350987484,3
Italy,GDP growth (annual %),LSTM,3.8982316262226657,4
Italy,GDP growth (annual %),Prophet,4.229809589423917,5
Italy,Imports of goods and services (% of GDP),ARIMA,2.340803737018951,1
Italy,Imports of goods and services (% of GDP),Holt-Winters,2.579345393583672,2
Italy,Imports of goods and services (% of GDP),Prophet,2.7823933501233364,3
Italy,Imports of goods and services (% of GDP),XGBoost,4.980083780811778,4
Italy,Imports of goods and services (% of GDP),LSTM,4.982297675580904,5
Italy,Exports of goods and services (% of GDP),ARIMA,1.2105497732295851,1
Italy,Exports of goods and services (% of GDP),Holt-Winters,1.213534581593846,2
Italy,Exports of goods and services (% of GDP),Prophet,1.6282022464942854,3
Italy,Exports of goods and services (% of GDP),XGBoost,3.7540479737239276,4
Italy,Exports of goods and services (% of GDP),LSTM,6.562951107080897,5
